Merchant,Amount,Category,Card,Date,Note
Clinic,195.92,Health,Amex Gold,2011-03-08 08:21:57,Lunch
Apple TV+,68.81,Entertainment,UOB One,2013-01-08 22:56:04,Lunch
Grab,1170.49,Travel,UOB One,2018-04-23 19:30:07,Lunch
Expedia,1672.36,Travel,Citi Rewards,2018-12-08 13:48:09,
Misc Store,137.59,Other,HSBC Revolution,2018-05-07 17:34:16,
Subway,5.67,Food & Drinks,UOB One,2016-01-01 10:21:57,Snacks
Misc Store,210.13,Other,HSBC Revolution,2020-11-19 02:26:54,Airport ride
KFC,51.14,Food & Drinks,Chase Sapphire Preferred,2022-08-10 16:27:23,Monthly subscription
Zara,224.78,Shopping,HSBC Revolution,2014-08-30 19:43:34,
Phone Carrier,21.96,Services,Amex Gold,2021-07-21 10:21:25,
Subway,11.10,Food & Drinks,Amex Gold,2018-11-06 16:53:39,Top-up
Shell,583.93,Travel,Citi Rewards,2010-02-21 13:43:09,Airport ride
Grab,1120.70,Travel,DBS Live Fresh,2012-10-07 10:18:04,
Local Shop,90.84,Other,Chase Sapphire Preferred,2024-01-17 14:03:31,Delivery fee
Local Cafe,12.83,Food & Drinks,Chase Sapphire Preferred,2012-05-05 10:18:50,
Steam,190.88,Entertainment,Amex Gold,2022-02-18 09:46:12,Monthly subscription
McDonald's,96.22,Food & Drinks,Chase Sapphire Preferred,2016-01-13 09:43:40,Membership renewal
Misc Store,240.83,Other,Citi Rewards,2012-12-12 14:43:56,Airport ride
Arcade,29.73,Entertainment,Citi Rewards,2019-06-07 08:19:05,Top-up
Lyft,1566.99,Travel,UOB One,2024-03-09 12:08:33,Hotel deposit
Expedia,721.54,Travel,HSBC Revolution,2016-01-10 11:26:26,Lunch
Optics,455.96,Health,Chase Sapphire Preferred,2020-06-19 20:50:15,
McDonald's,110.02,Food & Drinks,DBS Live Fresh,2019-08-16 19:03:48,
Zara,21.85,Shopping,HSBC Revolution,2023-09-27 17:33:29,
Apple,332.81,Other,Citi Rewards,2021-01-21 07:38:06,
AirAsia,669.30,Travel,HSBC Revolution,2011-01-14 07:37:43,Groceries
Arcade,31.40,Entertainment,DBS Live Fresh,2022-08-06 21:08:14,
Arcade,126.76,Entertainment,Citi Rewards,2022-03-27 22:00:51,Household items
Apple,65.44,Other,Chase Sapphire Preferred,2024-12-20 07:06:15,Snacks
Supermart,159.33,Other,UOB One,2025-10-03 07:25:30,
Clinic,163.56,Health,DBS Live Fresh,2020-06-04 16:54:42,
Spotify,2.71,Services,HSBC Revolution,2012-05-30 18:42:15,Household items
Utilities Co,23.87,Services,Citi Rewards,2011-09-14 21:31:23,
Utilities Co,64.19,Services,HSBC Revolution,2017-11-22 11:27:09,Top-up
Supermart,9.35,Other,UOB One,2015-02-25 03:41:57,
Netflix,77.06,Services,Citi Rewards,2017-12-17 19:29:17,Gift
Burger King,44.52,Food & Drinks,DBS Live Fresh,2025-05-10 16:24:32,Airport ride
Local Cafe,113.94,Food & Drinks,HSBC Revolution,2017-10-26 16:50:08,Pharmacy run
Netflix,39.22,Services,HSBC Revolution,2018-01-10 14:11:36,
Shell,1055.61,Travel,HSBC Revolution,2012-03-15 16:37:37,Membership renewal
Apple,341.55,Other,Chase Sapphire Preferred,2012-09-16 09:42:06,Snacks
Chipotle,196.32,Food & Drinks,Amex Gold,2023-10-04 20:50:15,Gift
Apple TV+,184.71,Entertainment,UOB One,2011-01-20 15:07:02,
Local Shop,244.58,Other,Citi Rewards,2024-04-20 02:11:20,Top-up
Spotify,46.33,Services,HSBC Revolution,2013-05-26 08:31:28,
IKEA,332.56,Shopping,HSBC Revolution,2023-11-06 13:50:12,Lunch
Cinema,9.55,Entertainment,Amex Gold,2012-05-23 19:23:49,Monthly subscription
McDonald's,146.81,Food & Drinks,HSBC Revolution,2025-07-01 16:33:31,Household items
Shell,1006.69,Travel,UOB One,2016-01-25 15:35:54,Monthly subscription
Utilities Co,30.71,Services,HSBC Revolution,2011-03-17 14:08:50,Fuel
Local Shop,25.33,Other,Amex Gold,2019-03-13 10:14:52,
Dental Care,424.93,Health,UOB One,2011-02-27 19:10:18,Coffee
Dental Care,375.00,Health,UOB One,2019-04-16 16:07:37,Dinner with friends
Cinema,69.59,Entertainment,Chase Sapphire Preferred,2014-06-10 09:56:48,Household items
Shell,665.92,Travel,HSBC Revolution,2022-11-19 15:56:03,Monthly subscription
Pharmacy,588.82,Health,Citi Rewards,2017-01-30 14:39:59,Snacks
Uniqlo,93.06,Shopping,HSBC Revolution,2010-08-10 13:14:41,Snacks
Chipotle,7.22,Food & Drinks,Amex Gold,2010-12-10 02:50:51,Membership renewal
Cinema,97.99,Entertainment,DBS Live Fresh,2016-08-02 17:44:08,Delivery fee
Lyft,881.53,Travel,Chase Sapphire Preferred,2025-04-06 15:57:23,Hotel deposit
Netflix,19.33,Services,Amex Gold,2020-01-06 01:26:47,
Pharmacy,525.22,Health,Chase Sapphire Preferred,2014-04-02 18:04:03,Gift
Starbucks,71.88,Food & Drinks,Citi Rewards,2021-02-23 19:18:08,
Adobe,52.87,Services,Chase Sapphire Preferred,2011-04-20 09:34:13,Sale promo
Clinic,430.75,Health,UOB One,2016-03-30 17:18:55,
Grab,1398.57,Travel,Citi Rewards,2018-07-26 07:22:57,Snacks
Starbucks,182.67,Food & Drinks,Amex Gold,2024-04-25 22:14:19,
Amazon,1452.57,Shopping,Citi Rewards,2023-05-29 08:15:44,Top-up
Apple,335.35,Other,UOB One,2014-08-07 09:24:19,
Apple,342.56,Other,Citi Rewards,2016-07-13 13:55:24,Groceries
IKEA,377.01,Shopping,UOB One,2017-05-02 13:42:19,Sale promo
Supermart,369.47,Other,Citi Rewards,2025-06-09 09:48:37,Lunch
Local Cafe,88.51,Food & Drinks,DBS Live Fresh,2017-04-10 17:59:47,
Pharmacy,238.99,Health,DBS Live Fresh,2022-04-09 20:18:54,
AirAsia,1149.48,Travel,UOB One,2019-09-02 17:16:10,
Adobe,11.42,Services,Amex Gold,2010-04-05 10:43:17,Coffee
Dental Care,346.94,Health,Citi Rewards,2010-08-28 15:23:17,
Pharmacy,191.07,Health,Chase Sapphire Preferred,2021-03-29 10:16:54,Top-up
Local Shop,189.24,Other,Chase Sapphire Preferred,2016-02-08 12:54:35,Groceries
Uber,1795.12,Travel,Citi Rewards,2019-05-20 10:04:28,Dinner with friends
Chipotle,28.06,Food & Drinks,UOB One,2020-09-21 08:55:39,
Amazon,86.62,Shopping,HSBC Revolution,2021-08-23 13:28:37,Coffee
Misc Store,11.37,Other,Citi Rewards,2024-05-17 19:22:34,
Lyft,227.24,Travel,Citi Rewards,2018-08-17 12:32:04,Hotel deposit
Grab,837.78,Travel,HSBC Revolution,2020-12-02 11:18:09,Sale promo
KFC,76.82,Food & Drinks,HSBC Revolution,2015-01-02 15:10:23,Airport ride
Uber,1221.99,Travel,Chase Sapphire Preferred,2023-09-30 10:45:49,
Dental Care,233.52,Health,Amex Gold,2019-11-30 03:46:09,Monthly subscription
Google,203.88,Other,DBS Live Fresh,2019-10-10 15:46:26,Fuel
Pharmacy,288.67,Health,DBS Live Fresh,2018-12-03 13:20:17,Pharmacy run
Uniqlo,1600.02,Shopping,Amex Gold,2016-02-28 09:20:47,
Arcade,147.36,Entertainment,UOB One,2024-12-22 11:05:22,
Misc Store,196.24,Other,HSBC Revolution,2013-12-02 12:26:14,
Clinic,154.52,Health,DBS Live Fresh,2025-06-20 11:37:42,Dinner with friends
Dental Care,195.17,Health,Citi Rewards,2011-05-22 11:32:09,
Arcade,175.65,Entertainment,Amex Gold,2010-04-07 08:26:16,
Apple TV+,22.90,Entertainment,HSBC Revolution,2024-10-16 03:27:01,
Google,347.42,Other,DBS Live Fresh,2025-08-18 11:27:22,Coffee
Concerts,69.35,Entertainment,Chase Sapphire Preferred,2024-01-12 19:37:38,
Cinema,148.53,Entertainment,Chase Sapphire Preferred,2016-01-15 21:58:26,
Apple TV+,152.26,Entertainment,Citi Rewards,2021-11-29 07:11:46,
Pharmacy,538.40,Health,Amex Gold,2020-02-06 14:43:41,Hotel deposit
Spotify,58.08,Services,DBS Live Fresh,2014-10-02 21:06:14,Hotel deposit
Supermart,359.43,Other,DBS Live Fresh,2019-11-12 13:59:27,Membership renewal
Chipotle,190.84,Food & Drinks,Amex Gold,2010-09-18 18:47:56,
Zara,563.73,Shopping,DBS Live Fresh,2024-12-18 15:06:22,Fuel
Subway,89.47,Food & Drinks,UOB One,2025-01-23 08:58:16,
Pharmacy,403.20,Health,Amex Gold,2012-05-26 06:35:53,Gift
Supermart,384.14,Other,Chase Sapphire Preferred,2019-03-09 13:12:00,Lunch
McDonald's,188.54,Food & Drinks,Citi Rewards,2019-09-20 11:28:33,Top-up
Starbucks,142.15,Food & Drinks,HSBC Revolution,2024-05-16 07:56:27,Monthly subscription
Clinic,441.66,Health,Citi Rewards,2011-12-25 21:51:05,
Target,660.96,Shopping,Chase Sapphire Preferred,2018-08-17 10:29:40,
Cinema,138.52,Entertainment,HSBC Revolution,2025-03-07 20:27:06,
Dental Care,506.44,Health,Amex Gold,2021-04-01 18:40:02,
Cinema,29.96,Entertainment,Amex Gold,2016-05-26 19:14:43,Snacks
Zara,1469.79,Shopping,Amex Gold,2014-10-23 07:40:56,Weekend trip
Clinic,266.25,Health,Chase Sapphire Preferred,2018-05-08 14:13:45,Delivery fee
Concerts,77.92,Entertainment,DBS Live Fresh,2019-12-08 09:22:30,Gift
Chipotle,175.38,Food & Drinks,Amex Gold,2021-05-13 12:50:40,Sale promo
AirAsia,202.10,Travel,Citi Rewards,2011-11-30 21:57:48,
Utilities Co,20.54,Services,Citi Rewards,2017-03-25 07:29:20,
Local Cafe,141.85,Food & Drinks,UOB One,2023-03-01 19:53:51,
AirAsia,477.37,Travel,HSBC Revolution,2014-12-13 09:13:56,
Netflix,61.97,Services,DBS Live Fresh,2014-06-14 16:26:25,
Utilities Co,73.08,Services,Citi Rewards,2014-07-26 12:14:21,
Misc Store,166.88,Other,UOB One,2019-09-28 19:34:13,
Supermart,135.23,Other,DBS Live Fresh,2020-04-17 13:46:01,
Misc Store,307.90,Other,Citi Rewards,2019-05-29 05:03:33,Household items
Walmart,797.10,Shopping,DBS Live Fresh,2022-03-19 09:51:10,
KFC,111.93,Food & Drinks,Amex Gold,2014-03-26 21:02:54,Weekend trip
Supermart,317.58,Other,UOB One,2010-09-20 08:19:01,Coffee
Misc Store,53.84,Other,HSBC Revolution,2023-05-04 11:25:08,
Chipotle,18.08,Food & Drinks,Chase Sapphire Preferred,2018-08-01 16:48:46,Lunch
Steam,184.04,Entertainment,DBS Live Fresh,2011-08-17 17:50:25,Pharmacy run
Dental Care,312.29,Health,UOB One,2010-05-26 10:29:12,Snacks
iCloud,8.35,Services,UOB One,2016-11-29 14:30:18,
Qantas,770.99,Travel,Amex Gold,2018-06-16 16:23:48,Fuel
Spotify,78.04,Services,DBS Live Fresh,2016-10-05 17:28:23,Fuel
Concerts,31.32,Entertainment,Citi Rewards,2020-09-19 22:06:35,Snacks
Lyft,291.25,Travel,Chase Sapphire Preferred,2020-06-27 18:33:46,
Clinic,462.77,Health,Chase Sapphire Preferred,2014-04-16 11:47:21,
Misc Store,228.30,Other,HSBC Revolution,2016-12-01 19:17:44,Snacks
AirAsia,1919.36,Travel,Citi Rewards,2014-01-04 10:45:30,Monthly subscription
Local Shop,35.61,Other,HSBC Revolution,2012-03-01 17:10:33,
IKEA,1740.80,Shopping,UOB One,2011-12-08 03:27:31,Weekend trip
Spotify,70.06,Services,HSBC Revolution,2017-02-11 11:18:07,Pharmacy run
Concerts,66.51,Entertainment,DBS Live Fresh,2025-02-18 11:41:10,Weekend trip
Arcade,190.54,Entertainment,DBS Live Fresh,2016-04-25 13:16:30,Hotel deposit
Arcade,106.30,Entertainment,Amex Gold,2024-02-10 12:20:26,Snacks
Apple,282.08,Other,Citi Rewards,2013-05-23 16:34:29,Groceries
AirAsia,321.34,Travel,DBS Live Fresh,2015-12-18 15:56:14,Lunch
Uniqlo,1643.30,Shopping,Citi Rewards,2024-10-08 11:46:19,Membership renewal
Burger King,129.40,Food & Drinks,DBS Live Fresh,2013-06-12 06:09:06,
McDonald's,114.04,Food & Drinks,Citi Rewards,2012-02-27 18:37:41,
Burger King,122.14,Food & Drinks,DBS Live Fresh,2023-09-26 17:39:42,
IKEA,1568.90,Shopping,Chase Sapphire Preferred,2013-09-06 06:51:39,Gift
Netflix,7.15,Services,Citi Rewards,2010-11-21 07:51:28,Snacks
Subway,152.72,Food & Drinks,DBS Live Fresh,2014-02-05 14:24:49,Snacks
Subway,65.44,Food & Drinks,DBS Live Fresh,2011-05-01 19:53:13,
Concerts,31.15,Entertainment,HSBC Revolution,2017-06-09 14:31:44,
Cinema,180.25,Entertainment,DBS Live Fresh,2021-02-03 10:01:55,Top-up
Dental Care,260.21,Health,HSBC Revolution,2020-06-30 14:58:12,Gift
Cinema,90.09,Entertainment,Amex Gold,2018-12-13 08:37:19,Sale promo
Burger King,122.53,Food & Drinks,Chase Sapphire Preferred,2010-07-28 15:41:30,Dinner with friends
Local Cafe,194.31,Food & Drinks,Chase Sapphire Preferred,2024-01-03 03:45:59,Top-up
Spotify,60.24,Services,UOB One,2021-01-06 17:51:06,Lunch
Expedia,1414.22,Travel,Amex Gold,2013-01-04 19:08:05,Fuel
Local Shop,285.68,Other,HSBC Revolution,2015-05-07 06:34:17,
Target,1477.53,Shopping,DBS Live Fresh,2015-08-30 18:54:57,Gift
Expedia,1037.52,Travel,Citi Rewards,2021-04-22 11:53:42,
Google,63.27,Other,DBS Live Fresh,2014-07-15 06:28:02,Household items
Steam,37.07,Entertainment,UOB One,2022-09-15 18:00:19,Sale promo
Misc Store,229.43,Other,UOB One,2021-11-05 06:59:29,Monthly subscription
Target,379.46,Shopping,Chase Sapphire Preferred,2020-01-22 15:01:49,Lunch
Target,926.09,Shopping,Citi Rewards,2024-12-03 16:15:19,
Arcade,151.90,Entertainment,HSBC Revolution,2012-04-04 10:24:45,Dinner with friends
Decathlon,833.83,Shopping,Citi Rewards,2024-03-18 08:56:12,Pharmacy run
Local Cafe,55.12,Food & Drinks,UOB One,2018-05-03 10:23:22,
AirAsia,1377.21,Travel,HSBC Revolution,2012-11-25 03:53:37,Household items
Apple TV+,130.26,Entertainment,Citi Rewards,2021-08-08 18:13:21,
Qantas,1590.65,Travel,HSBC Revolution,2011-07-18 13:13:16,Dinner with friends
Apple,265.04,Other,DBS Live Fresh,2013-03-04 12:29:37,Membership renewal
Steam,66.51,Entertainment,Chase Sapphire Preferred,2011-10-13 15:55:57,Delivery fee
iCloud,52.18,Services,Citi Rewards,2011-09-15 08:22:19,Gift
Pharmacy,487.44,Health,UOB One,2017-10-07 14:44:27,
Spotify,58.15,Services,Citi Rewards,2020-03-23 10:43:25,Coffee
Pharmacy,261.28,Health,UOB One,2014-08-01 21:25:37,Weekend trip
Uniqlo,1930.82,Shopping,DBS Live Fresh,2018-12-01 08:36:48,Hotel deposit
Pharmacy,192.47,Health,Chase Sapphire Preferred,2023-01-11 08:22:29,Top-up
Google,353.77,Other,Amex Gold,2015-02-16 10:11:15,
Netflix,20.33,Services,HSBC Revolution,2021-08-25 14:49:23,Gift
Starbucks,111.32,Food & Drinks,UOB One,2016-09-14 16:58:30,
Optics,153.22,Health,HSBC Revolution,2025-08-07 06:08:20,
Zara,1797.06,Shopping,Citi Rewards,2023-12-13 16:55:27,
Uber,981.74,Travel,Citi Rewards,2022-08-06 22:01:14,
Walmart,744.57,Shopping,Amex Gold,2015-10-13 13:00:39,
Netflix,19.18,Services,HSBC Revolution,2018-07-04 08:13:19,Hotel deposit
Adobe,34.63,Services,Amex Gold,2014-11-06 10:43:52,Dinner with friends
Spotify,32.46,Services,Amex Gold,2018-10-20 18:29:51,Fuel
Apple TV+,34.69,Entertainment,Chase Sapphire Preferred,2012-03-10 14:24:43,Snacks
Apple TV+,154.96,Entertainment,UOB One,2015-02-26 11:47:40,Top-up
Grab,1426.93,Travel,UOB One,2024-05-12 13:23:07,
Phone Carrier,69.75,Services,UOB One,2011-05-13 08:21:59,
McDonald's,163.13,Food & Drinks,DBS Live Fresh,2022-05-19 19:27:03,Groceries
Local Shop,150.01,Other,UOB One,2025-02-16 14:23:16,Pharmacy run
Pharmacy,167.67,Health,DBS Live Fresh,2014-12-28 10:01:28,Groceries
Uber,1466.49,Travel,Citi Rewards,2019-01-15 17:15:11,Fuel
Target,1269.51,Shopping,Amex Gold,2017-05-02 19:22:29,
Walmart,1642.77,Shopping,HSBC Revolution,2019-09-07 12:04:20,Airport ride
Expedia,1626.83,Travel,HSBC Revolution,2011-09-21 11:46:05,Pharmacy run
Utilities Co,15.53,Services,Chase Sapphire Preferred,2022-09-15 09:41:47,
Optics,478.25,Health,Chase Sapphire Preferred,2019-09-18 09:19:39,Coffee
Cinema,115.95,Entertainment,Citi Rewards,2013-08-30 17:27:17,
Clinic,305.92,Health,Citi Rewards,2010-10-12 14:58:11,
Starbucks,43.81,Food & Drinks,UOB One,2023-04-22 11:08:17,Hotel deposit
Google,12.14,Other,Amex Gold,2015-07-11 09:39:18,
Shell,1179.95,Travel,UOB One,2020-10-19 14:34:24,Lunch
Subway,71.23,Food & Drinks,Citi Rewards,2017-07-24 08:54:47,Gift
Apple TV+,82.38,Entertainment,Citi Rewards,2021-03-29 19:05:40,Sale promo
Google,394.02,Other,HSBC Revolution,2016-04-13 10:48:20,Top-up
Google,236.05,Other,DBS Live Fresh,2020-08-15 10:27:26,
Misc Store,298.90,Other,DBS Live Fresh,2013-12-29 11:34:08,Fuel
Local Shop,88.47,Other,Amex Gold,2011-11-19 14:11:55,Membership renewal
AirAsia,1505.05,Travel,Citi Rewards,2017-02-11 20:17:20,
Cinema,177.30,Entertainment,HSBC Revolution,2020-10-09 17:20:32,Membership renewal
Walmart,994.72,Shopping,UOB One,2017-11-22 10:59:28,Gift
iCloud,43.08,Services,Chase Sapphire Preferred,2015-09-07 17:41:11,
Local Shop,262.98,Other,DBS Live Fresh,2017-02-12 11:40:01,
Decathlon,1011.69,Shopping,DBS Live Fresh,2011-05-16 14:46:26,
Burger King,35.79,Food & Drinks,Amex Gold,2020-08-22 12:05:23,Membership renewal
Qantas,1702.11,Travel,Amex Gold,2012-09-29 12:46:55,Snacks
Arcade,29.13,Entertainment,Citi Rewards,2011-02-07 19:13:36,Coffee
Steam,197.97,Entertainment,UOB One,2023-07-22 08:29:32,
Dental Care,154.47,Health,Amex Gold,2022-04-14 21:00:47,Delivery fee
Optics,51.52,Health,UOB One,2017-02-04 21:56:45,Lunch
Utilities Co,5.72,Services,HSBC Revolution,2023-10-23 11:52:46,
KFC,185.70,Food & Drinks,HSBC Revolution,2020-09-15 15:27:50,Airport ride
Dental Care,454.61,Health,DBS Live Fresh,2011-11-26 16:23:26,
IKEA,428.07,Shopping,UOB One,2011-08-27 10:44:04,Snacks
Clinic,212.04,Health,Citi Rewards,2021-09-22 12:50:28,
Grab,81.13,Travel,DBS Live Fresh,2012-05-20 08:18:01,Sale promo
Grab,589.52,Travel,HSBC Revolution,2022-03-07 08:40:19,Top-up
Concerts,149.52,Entertainment,Amex Gold,2021-10-29 07:38:18,
Local Cafe,8.52,Food & Drinks,Amex Gold,2013-08-08 14:09:37,Sale promo
Steam,174.44,Entertainment,HSBC Revolution,2018-10-17 11:39:57,Sale promo
Arcade,170.96,Entertainment,DBS Live Fresh,2015-05-07 13:24:55,
Arcade,97.96,Entertainment,DBS Live Fresh,2018-03-27 19:00:42,
McDonald's,43.67,Food & Drinks,Citi Rewards,2012-07-21 09:49:46,
Arcade,101.26,Entertainment,Citi Rewards,2019-09-09 20:58:00,
Clinic,129.49,Health,HSBC Revolution,2021-04-20 03:40:06,
Uber,1111.04,Travel,Citi Rewards,2019-02-05 18:34:55,Groceries
Phone Carrier,20.59,Services,DBS Live Fresh,2014-05-11 18:11:44,
Clinic,416.89,Health,Amex Gold,2017-10-04 08:38:17,
Google,333.12,Other,HSBC Revolution,2011-01-31 20:08:33,Household items
IKEA,1525.74,Shopping,DBS Live Fresh,2018-02-13 12:34:56,
Chipotle,17.39,Food & Drinks,HSBC Revolution,2018-02-20 07:05:30,Household items
AirAsia,1142.97,Travel,Citi Rewards,2019-11-24 11:57:07,
Adobe,47.53,Services,Amex Gold,2020-10-20 15:29:00,Delivery fee
Grab,1265.95,Travel,UOB One,2015-08-05 13:32:18,
Subway,52.06,Food & Drinks,DBS Live Fresh,2014-09-07 16:32:19,
Google,7.57,Other,UOB One,2025-03-14 22:30:31,Monthly subscription
Optics,189.74,Health,HSBC Revolution,2025-09-28 19:21:40,
Clinic,469.49,Health,Amex Gold,2022-12-24 09:19:32,Weekend trip
Netflix,24.70,Services,HSBC Revolution,2020-05-15 09:43:09,Household items
Optics,512.89,Health,Amex Gold,2020-05-19 15:20:33,
Steam,156.61,Entertainment,UOB One,2014-08-01 09:16:30,
Dental Care,95.54,Health,Citi Rewards,2015-09-05 16:53:47,Pharmacy run
Phone Carrier,61.25,Services,UOB One,2010-02-05 17:25:03,
Local Cafe,195.07,Food & Drinks,Amex Gold,2023-01-19 09:52:45,Dinner with friends
Chipotle,7.66,Food & Drinks,Citi Rewards,2017-04-10 18:20:35,
Walmart,1238.94,Shopping,Amex Gold,2017-06-27 19:06:04,Hotel deposit
Apple TV+,119.81,Entertainment,HSBC Revolution,2010-10-13 17:24:44,
Apple TV+,58.19,Entertainment,Amex Gold,2020-04-27 14:03:06,Hotel deposit
Burger King,89.31,Food & Drinks,Citi Rewards,2014-11-02 07:08:56,
Chipotle,84.51,Food & Drinks,HSBC Revolution,2012-08-01 19:37:19,
Uber,498.00,Travel,UOB One,2019-09-29 13:42:16,
Dental Care,22.89,Health,HSBC Revolution,2023-02-19 17:55:50,
Concerts,181.31,Entertainment,Citi Rewards,2017-08-02 17:13:11,Coffee
iCloud,16.72,Services,Citi Rewards,2021-12-23 09:38:47,
Amazon,827.45,Shopping,HSBC Revolution,2016-09-28 18:51:03,
Supermart,11.40,Other,Citi Rewards,2017-06-09 23:32:55,
Optics,349.14,Health,Citi Rewards,2020-10-16 05:04:36,Fuel
Lyft,1694.14,Travel,DBS Live Fresh,2011-06-30 14:29:39,
Walmart,1536.56,Shopping,Chase Sapphire Preferred,2017-05-01 18:29:28,
Arcade,68.09,Entertainment,HSBC Revolution,2013-02-02 15:21:29,Delivery fee
Local Shop,121.06,Other,DBS Live Fresh,2020-08-11 18:01:00,Delivery fee
Uniqlo,1172.91,Shopping,Amex Gold,2023-01-23 10:29:41,
Dental Care,521.67,Health,HSBC Revolution,2012-08-06 08:09:13,Fuel
Supermart,378.08,Other,DBS Live Fresh,2010-09-03 17:34:22,
Chipotle,185.91,Food & Drinks,Citi Rewards,2021-03-13 09:19:10,Dinner with friends
IKEA,64.32,Shopping,Citi Rewards,2024-12-06 19:28:07,
Netflix,69.54,Services,UOB One,2024-07-13 17:24:03,Membership renewal
IKEA,1184.53,Shopping,UOB One,2012-02-14 06:11:32,
Steam,35.09,Entertainment,Chase Sapphire Preferred,2013-07-26 07:31:47,
Concerts,40.62,Entertainment,UOB One,2011-07-19 18:23:30,Fuel
Netflix,31.02,Services,Chase Sapphire Preferred,2017-02-22 11:54:06,Pharmacy run
Pharmacy,568.10,Health,UOB One,2021-02-03 10:44:05,
Optics,19.35,Health,UOB One,2014-09-04 16:57:20,Coffee
Decathlon,264.62,Shopping,Chase Sapphire Preferred,2012-08-25 08:30:48,Household items
Dental Care,374.36,Health,Citi Rewards,2024-01-03 08:11:11,
Target,371.41,Shopping,HSBC Revolution,2024-12-15 20:50:10,Household items
KFC,76.52,Food & Drinks,HSBC Revolution,2024-04-25 09:20:01,
Starbucks,9.74,Food & Drinks,UOB One,2024-11-01 08:26:02,Weekend trip
IKEA,39.73,Shopping,Chase Sapphire Preferred,2025-04-06 09:26:04,Snacks
Utilities Co,35.79,Services,DBS Live Fresh,2024-07-30 14:40:00,Snacks
McDonald's,132.31,Food & Drinks,Citi Rewards,2016-03-21 21:42:45,Snacks
Steam,27.79,Entertainment,Amex Gold,2018-10-04 07:09:14,
Cinema,82.56,Entertainment,HSBC Revolution,2025-02-02 15:15:14,Pharmacy run
Local Cafe,134.67,Food & Drinks,UOB One,2018-11-05 13:56:17,
Uniqlo,755.79,Shopping,UOB One,2012-06-21 14:59:54,Membership renewal
Cinema,195.97,Entertainment,Amex Gold,2010-03-30 08:02:53,
Zara,33.31,Shopping,Citi Rewards,2018-03-07 12:22:12,
Optics,595.69,Health,UOB One,2017-09-17 15:34:28,Dinner with friends
Steam,69.44,Entertainment,Citi Rewards,2025-03-08 08:21:51,
Optics,66.94,Health,HSBC Revolution,2024-07-26 10:33:16,Sale promo
Adobe,77.22,Services,Chase Sapphire Preferred,2012-02-24 06:29:53,Pharmacy run
Walmart,620.99,Shopping,Citi Rewards,2017-06-03 14:05:55,
Zara,397.81,Shopping,DBS Live Fresh,2024-04-16 16:49:01,Sale promo
Qantas,1130.14,Travel,Amex Gold,2019-01-10 13:51:34,Coffee
Steam,76.77,Entertainment,Amex Gold,2011-09-15 16:40:40,
Walmart,312.58,Shopping,HSBC Revolution,2020-05-16 11:12:17,Membership renewal
KFC,194.49,Food & Drinks,DBS Live Fresh,2025-03-16 12:20:08,
Starbucks,52.51,Food & Drinks,Chase Sapphire Preferred,2019-06-16 15:13:59,
Uber,1512.79,Travel,Chase Sapphire Preferred,2012-05-21 08:52:10,
Clinic,473.92,Health,UOB One,2020-12-28 11:37:12,Sale promo
Google,60.47,Other,Citi Rewards,2016-10-30 07:47:37,
IKEA,293.39,Shopping,UOB One,2014-09-08 17:00:40,Pharmacy run
Uber,1200.91,Travel,HSBC Revolution,2013-12-13 15:19:52,Top-up
Amazon,689.34,Shopping,HSBC Revolution,2014-08-18 21:02:24,
Starbucks,94.91,Food & Drinks,HSBC Revolution,2019-12-14 08:45:44,
iCloud,42.30,Services,Amex Gold,2011-07-05 23:38:38,
Walmart,994.12,Shopping,HSBC Revolution,2021-12-08 21:26:03,
Dental Care,442.14,Health,HSBC Revolution,2025-05-23 09:32:21,Dinner with friends
Starbucks,22.92,Food & Drinks,Chase Sapphire Preferred,2023-09-18 12:37:31,Delivery fee
Concerts,199.47,Entertainment,Chase Sapphire Preferred,2024-01-22 16:35:38,
Phone Carrier,69.76,Services,DBS Live Fresh,2021-05-11 11:38:06,
Pharmacy,66.00,Health,DBS Live Fresh,2022-12-31 09:37:43,
AirAsia,1439.40,Travel,UOB One,2010-09-05 10:50:28,
Shell,84.18,Travel,DBS Live Fresh,2016-10-13 18:40:47,
Cinema,114.69,Entertainment,Amex Gold,2010-05-31 15:21:06,Delivery fee
Pharmacy,279.41,Health,HSBC Revolution,2025-02-27 09:52:43,Coffee
KFC,66.93,Food & Drinks,Chase Sapphire Preferred,2021-11-23 23:16:49,
Decathlon,1300.09,Shopping,DBS Live Fresh,2022-08-08 11:22:49,
Optics,206.92,Health,Chase Sapphire Preferred,2020-06-27 13:51:53,
Chipotle,22.96,Food & Drinks,Citi Rewards,2022-04-13 06:25:20,
Arcade,42.82,Entertainment,UOB One,2024-07-24 16:22:21,
Chipotle,191.98,Food & Drinks,Amex Gold,2015-06-29 01:12:37,Weekend trip
Steam,152.08,Entertainment,Citi Rewards,2019-02-27 08:39:44,Monthly subscription
Supermart,164.83,Other,HSBC Revolution,2014-06-25 08:21:34,Airport ride
Netflix,65.35,Services,HSBC Revolution,2025-02-05 18:39:36,
McDonald's,165.75,Food & Drinks,UOB One,2014-03-08 13:42:17,Coffee
Clinic,526.33,Health,Amex Gold,2017-06-29 15:13:09,Coffee
Supermart,335.98,Other,UOB One,2017-01-19 14:36:12,Weekend trip
AirAsia,1155.16,Travel,HSBC Revolution,2025-05-08 22:47:16,
