Merchant,Amount,Category,Card,Date,Note
Apple,226.58,Other,Amex Gold,2024-06-18 14:13:32,
Subway,94.64,Food & Drinks,UOB One,2025-01-22 18:42:03,Household items
Qantas,736.76,Travel,DBS Live Fresh,2024-02-23 20:37:40,
Cinema,69.05,Entertainment,UOB One,2024-04-08 18:27:59,Airport ride
AirAsia,793.56,Travel,Amex Gold,2024-06-02 11:26:52,
Expedia,234.84,Travel,DBS Live Fresh,2025-08-01 07:51:14,
Apple,6.25,Other,Citi Rewards,2024-06-19 22:09:21,Fuel
Burger King,23.92,Food & Drinks,Citi Rewards,2024-02-14 15:17:23,
Phone Carrier,13.58,Services,Chase Sapphire Preferred,2024-10-19 13:30:51,
Apple TV+,100.27,Entertainment,Chase Sapphire Preferred,2025-10-19 19:16:40,Airport ride
IKEA,871.09,Shopping,Citi Rewards,2024-04-11 22:40:45,
Shopee,1366.43,Shopping,DBS Live Fresh,2024-10-27 09:05:05,Monthly subscription
Pharmacy,188.82,Health,UOB One,2025-04-21 20:17:25,
Apple TV+,58.00,Entertainment,DBS Live Fresh,2025-08-11 09:50:45,Delivery fee
Apple,202.51,Other,DBS Live Fresh,2024-09-09 13:47:14,Delivery fee
AirAsia,501.02,Travel,Chase Sapphire Preferred,2024-12-01 10:29:29,Airport ride
Decathlon,728.58,Shopping,Citi Rewards,2025-06-12 22:47:23,Monthly subscription
Decathlon,311.99,Shopping,DBS Live Fresh,2024-11-18 10:33:40,Monthly subscription
Arcade,100.02,Entertainment,DBS Live Fresh,2024-12-01 22:19:44,Gift
Amazon,419.24,Shopping,Chase Sapphire Preferred,2025-02-24 12:05:30,Household items
Dental Care,96.93,Health,DBS Live Fresh,2024-11-23 09:04:07,Household items
Apple,167.37,Other,Chase Sapphire Preferred,2025-10-03 12:38:24,
Clinic,376.79,Health,UOB One,2025-04-16 22:00:06,Monthly subscription
Local Cafe,18.47,Food & Drinks,Citi Rewards,2024-10-27 16:27:15,Hotel deposit
Arcade,42.77,Entertainment,Amex Gold,2025-02-25 11:06:34,
Apple TV+,50.37,Entertainment,Chase Sapphire Preferred,2025-03-26 19:46:16,Fuel
Qantas,957.24,Travel,UOB One,2025-02-25 16:26:17,Fuel
Arcade,111.48,Entertainment,UOB One,2024-04-08 22:17:49,
Local Shop,282.01,Other,Amex Gold,2024-10-16 09:11:43,
Dental Care,223.28,Health,Citi Rewards,2025-01-24 12:07:23,Hotel deposit
Amazon,1014.24,Shopping,Amex Gold,2024-02-05 16:04:43,
Amazon,473.00,Shopping,UOB One,2025-03-05 15:13:26,Household items
iCloud,12.21,Services,UOB One,2024-12-01 18:42:28,Household items
Utilities Co,11.11,Services,Chase Sapphire Preferred,2024-09-06 12:18:48,Monthly subscription
Apple,31.41,Other,Amex Gold,2024-08-12 21:31:56,
Utilities Co,39.27,Services,DBS Live Fresh,2024-05-14 10:43:40,
Expedia,1376.60,Travel,Chase Sapphire Preferred,2024-08-27 09:09:06,Hotel deposit
Zara,801.00,Shopping,Amex Gold,2024-12-01 20:55:44,
Utilities Co,50.91,Services,Amex Gold,2024-02-17 15:16:28,Lunch
Uber,306.73,Travel,Citi Rewards,2024-12-05 17:29:13,
Zara,354.57,Shopping,Citi Rewards,2024-03-02 16:03:54,Coffee
Concerts,27.66,Entertainment,DBS Live Fresh,2025-08-10 16:07:55,Sale promo
Apple TV+,53.56,Entertainment,Chase Sapphire Preferred,2025-04-23 22:34:22,
Uniqlo,682.44,Shopping,UOB One,2025-01-02 15:51:35,
Netflix,11.72,Services,Chase Sapphire Preferred,2025-07-02 20:22:34,
Local Cafe,91.28,Food & Drinks,UOB One,2024-04-10 21:54:01,
Clinic,315.08,Health,Citi Rewards,2024-09-13 20:34:27,
Misc Store,60.76,Other,Chase Sapphire Preferred,2025-02-09 09:28:55,
Apple TV+,23.56,Entertainment,Chase Sapphire Preferred,2024-08-23 21:13:00,
KFC,97.07,Food & Drinks,Amex Gold,2025-07-04 09:56:57,
Decathlon,1233.71,Shopping,DBS Live Fresh,2024-10-17 08:36:15,Groceries
Clinic,192.55,Health,DBS Live Fresh,2024-10-16 20:52:19,
Phone Carrier,57.05,Services,DBS Live Fresh,2024-04-10 15:41:52,
KFC,111.87,Food & Drinks,DBS Live Fresh,2024-11-26 22:22:40,Fuel
Concerts,3.79,Entertainment,DBS Live Fresh,2024-09-17 08:44:07,
Local Cafe,51.14,Food & Drinks,Amex Gold,2025-02-07 19:41:26,Hotel deposit
Concerts,90.21,Entertainment,Amex Gold,2024-11-30 19:27:28,Groceries
McDonald's,97.52,Food & Drinks,Chase Sapphire Preferred,2025-07-08 07:07:17,Household items
Phone Carrier,8.35,Services,DBS Live Fresh,2024-08-25 13:23:14,Gift
Local Shop,164.91,Other,Citi Rewards,2024-11-30 09:31:42,Delivery fee
Local Shop,84.19,Other,UOB One,2025-09-08 21:46:05,Top-up
Expedia,1057.39,Travel,Chase Sapphire Preferred,2024-10-02 21:03:58,Fuel
Arcade,114.11,Entertainment,Citi Rewards,2025-06-13 08:47:22,
Dental Care,62.86,Health,DBS Live Fresh,2024-04-23 20:17:00,
Apple TV+,73.90,Entertainment,Amex Gold,2024-04-09 14:06:39,Dinner with friends
Misc Store,112.93,Other,Amex Gold,2024-03-01 07:56:17,Gift
Phone Carrier,49.61,Services,UOB One,2025-01-24 15:04:39,
Spotify,49.66,Services,Citi Rewards,2025-01-03 13:20:23,
Uber,1408.42,Travel,Amex Gold,2024-11-18 12:29:53,
Clinic,240.30,Health,DBS Live Fresh,2025-01-07 14:44:04,
Shopee,651.18,Shopping,Chase Sapphire Preferred,2025-10-01 21:34:04,Coffee
Concerts,71.95,Entertainment,UOB One,2025-10-20 21:39:06,
Shell,153.45,Travel,Citi Rewards,2025-07-02 19:19:12,
KFC,103.06,Food & Drinks,Chase Sapphire Preferred,2025-10-05 09:25:59,Membership renewal
Lazada,720.21,Shopping,DBS Live Fresh,2025-10-20 17:39:11,Lunch
Local Shop,70.54,Other,Chase Sapphire Preferred,2025-07-29 16:13:06,Coffee
Lazada,1026.97,Shopping,UOB One,2024-02-17 14:29:00,
Apple TV+,67.33,Entertainment,DBS Live Fresh,2024-05-20 21:30:03,
Apple TV+,54.04,Entertainment,Citi Rewards,2025-09-17 21:20:59,Delivery fee
Shell,1311.37,Travel,DBS Live Fresh,2024-09-09 14:10:18,
Subway,60.69,Food & Drinks,Chase Sapphire Preferred,2025-09-03 07:41:09,Groceries
Netflix,17.41,Services,UOB One,2024-06-20 22:57:16,Lunch
Clinic,368.84,Health,DBS Live Fresh,2024-01-27 11:16:22,
Apple,230.55,Other,Chase Sapphire Preferred,2024-02-15 19:48:36,
AirAsia,1251.72,Travel,DBS Live Fresh,2024-06-04 11:46:37,
Shell,1272.66,Travel,Amex Gold,2024-10-02 12:37:13,
Uniqlo,159.41,Shopping,Chase Sapphire Preferred,2024-06-06 14:32:52,Hotel deposit
Amazon,213.50,Shopping,Citi Rewards,2025-05-10 11:47:03,Hotel deposit
Expedia,262.26,Travel,DBS Live Fresh,2025-10-17 10:49:31,
Pharmacy,255.95,Health,DBS Live Fresh,2024-11-20 11:26:00,Monthly subscription
Amazon,1264.86,Shopping,DBS Live Fresh,2025-09-22 10:52:59,Coffee
Google,165.22,Other,Citi Rewards,2025-10-21 13:27:42,
KFC,12.87,Food & Drinks,Chase Sapphire Preferred,2025-09-04 07:44:33,
Concerts,118.88,Entertainment,Citi Rewards,2025-08-07 12:50:49,Pharmacy run
Dental Care,92.50,Health,Citi Rewards,2025-10-20 11:46:39,Monthly subscription
McDonald's,102.02,Food & Drinks,Citi Rewards,2024-04-22 09:15:58,Pharmacy run
Apple TV+,53.49,Entertainment,UOB One,2025-04-19 17:45:09,Gift
Local Cafe,28.82,Food & Drinks,Citi Rewards,2025-07-07 07:58:51,
Local Cafe,6.59,Food & Drinks,DBS Live Fresh,2024-12-03 19:45:52,Lunch
Expedia,235.20,Travel,Amex Gold,2025-09-05 08:51:57,Household items
Shopee,678.53,Shopping,Amex Gold,2024-04-10 16:42:57,
Cinema,54.19,Entertainment,Amex Gold,2025-08-01 08:05:27,Monthly subscription
Amazon,1388.11,Shopping,Chase Sapphire Preferred,2024-10-09 09:51:44,Sale promo
Starbucks,57.46,Food & Drinks,DBS Live Fresh,2024-10-04 15:40:17,Fuel
Apple TV+,43.59,Entertainment,Citi Rewards,2024-09-20 11:14:20,
McDonald's,98.22,Food & Drinks,Amex Gold,2024-08-27 19:47:16,
Subway,61.82,Food & Drinks,DBS Live Fresh,2024-06-21 10:43:12,Lunch
McDonald's,80.07,Food & Drinks,DBS Live Fresh,2024-06-20 12:52:19,Monthly subscription
Lazada,1041.28,Shopping,Chase Sapphire Preferred,2024-11-29 15:12:56,Monthly subscription
Cinema,40.73,Entertainment,DBS Live Fresh,2025-01-02 21:16:12,
Expedia,993.98,Travel,Chase Sapphire Preferred,2024-02-17 17:04:38,Dinner with friends
Spotify,1.82,Services,Chase Sapphire Preferred,2025-03-05 22:12:54,
Decathlon,990.50,Shopping,DBS Live Fresh,2024-01-28 10:19:19,Gift
Local Shop,199.89,Other,Chase Sapphire Preferred,2025-03-02 15:18:15,
Expedia,965.29,Travel,UOB One,2024-10-17 22:32:22,Fuel
Starbucks,36.90,Food & Drinks,Chase Sapphire Preferred,2025-08-10 21:49:53,Membership renewal
Shopee,771.70,Shopping,Citi Rewards,2025-10-04 12:03:49,Monthly subscription
Spotify,44.86,Services,Amex Gold,2024-06-05 15:56:31,Fuel
Starbucks,39.85,Food & Drinks,DBS Live Fresh,2024-11-30 10:24:57,Lunch
Netflix,8.30,Services,Amex Gold,2025-08-07 19:12:40,Top-up
Grab,1014.77,Travel,Chase Sapphire Preferred,2025-10-18 13:44:27,Groceries
Dental Care,264.11,Health,UOB One,2024-09-15 16:30:14,
McDonald's,37.47,Food & Drinks,Amex Gold,2025-05-13 07:54:03,Gift
Pharmacy,199.61,Health,UOB One,2024-09-16 22:58:18,Coffee
Clinic,133.45,Health,Amex Gold,2024-09-18 09:26:35,
Uniqlo,791.72,Shopping,UOB One,2025-10-21 21:24:49,
KFC,36.34,Food & Drinks,DBS Live Fresh,2024-12-03 09:43:38,Membership renewal
Qantas,494.33,Travel,DBS Live Fresh,2024-10-14 21:24:34,Gift
Misc Store,138.36,Other,UOB One,2025-07-04 11:32:01,Lunch
Local Shop,123.41,Other,UOB One,2024-06-21 07:52:08,
Local Cafe,19.35,Food & Drinks,Chase Sapphire Preferred,2024-02-14 19:00:33,
Apple TV+,40.46,Entertainment,DBS Live Fresh,2025-01-02 09:02:12,Dinner with friends
Subway,25.82,Food & Drinks,UOB One,2025-07-29 18:12:58,Gift
Utilities Co,1.50,Services,UOB One,2025-09-22 15:19:59,
Local Shop,227.30,Other,Citi Rewards,2025-09-20 18:22:12,Dinner with friends
Google,84.40,Other,UOB One,2024-08-13 15:48:56,
Uber,517.34,Travel,Citi Rewards,2025-04-15 14:22:11,Gift
KFC,48.71,Food & Drinks,Chase Sapphire Preferred,2024-05-14 19:47:06,Pharmacy run
Burger King,104.32,Food & Drinks,Amex Gold,2025-07-30 07:14:31,Coffee
Phone Carrier,13.52,Services,Citi Rewards,2025-09-07 13:57:56,
Subway,59.33,Food & Drinks,UOB One,2024-02-19 07:01:50,Membership renewal
Utilities Co,16.46,Services,Chase Sapphire Preferred,2024-06-05 21:59:35,Hotel deposit
AirAsia,1187.40,Travel,DBS Live Fresh,2025-01-05 09:54:55,
Shopee,1159.33,Shopping,Citi Rewards,2025-01-05 15:10:18,Gift
Concerts,53.46,Entertainment,DBS Live Fresh,2025-06-12 16:58:51,Pharmacy run
Spotify,4.18,Services,Amex Gold,2024-06-02 20:33:15,Dinner with friends
Subway,105.05,Food & Drinks,UOB One,2025-03-25 22:21:52,Pharmacy run
Cinema,23.28,Entertainment,Chase Sapphire Preferred,2024-12-01 07:07:26,Dinner with friends
Decathlon,234.94,Shopping,Chase Sapphire Preferred,2024-10-06 19:12:33,Dinner with friends
Dental Care,286.44,Health,Chase Sapphire Preferred,2025-01-09 08:29:44,
Shopee,1286.67,Shopping,Amex Gold,2024-11-21 11:31:36,
KFC,19.04,Food & Drinks,Amex Gold,2024-08-17 11:56:27,
Qantas,224.97,Travel,UOB One,2025-09-23 20:15:18,Delivery fee
Uber,237.20,Travel,UOB One,2024-08-27 07:23:59,Sale promo
Arcade,93.27,Entertainment,UOB One,2024-04-26 07:40:51,
Subway,22.95,Food & Drinks,DBS Live Fresh,2025-03-05 15:22:21,
Apple TV+,29.02,Entertainment,Amex Gold,2024-03-02 13:57:00,Gift
Cinema,63.19,Entertainment,Amex Gold,2024-04-08 15:11:38,Hotel deposit
Arcade,26.72,Entertainment,Amex Gold,2024-11-24 09:17:24,
IKEA,1039.30,Shopping,Citi Rewards,2025-01-03 21:20:35,
Burger King,118.05,Food & Drinks,DBS Live Fresh,2025-02-22 12:46:45,Gift
Apple TV+,59.62,Entertainment,UOB One,2025-09-30 11:38:14,
Uniqlo,762.75,Shopping,Amex Gold,2024-12-12 09:22:15,Airport ride
Utilities Co,58.50,Services,Amex Gold,2025-02-09 07:49:49,Hotel deposit
Google,19.70,Other,Citi Rewards,2024-02-03 09:18:36,Sale promo
Uniqlo,630.45,Shopping,UOB One,2024-02-15 08:13:06,Lunch
Grab,734.23,Travel,UOB One,2024-02-27 15:11:03,
Local Cafe,75.10,Food & Drinks,Citi Rewards,2024-09-16 22:08:53,Pharmacy run
Expedia,916.66,Travel,Amex Gold,2024-05-15 10:42:42,
Starbucks,62.59,Food & Drinks,UOB One,2024-06-04 10:05:28,Sale promo
Apple TV+,111.25,Entertainment,UOB One,2024-12-03 22:10:22,Top-up
Qantas,852.23,Travel,Chase Sapphire Preferred,2024-08-13 20:39:28,Sale promo
Apple TV+,78.78,Entertainment,UOB One,2024-09-16 19:32:02,Delivery fee
Burger King,18.69,Food & Drinks,UOB One,2024-03-10 10:44:58,Sale promo
Expedia,78.65,Travel,Chase Sapphire Preferred,2025-02-20 11:25:46,
Local Shop,168.04,Other,Amex Gold,2025-04-20 17:14:03,Lunch
Burger King,3.10,Food & Drinks,Amex Gold,2025-03-28 10:27:55,Fuel
Local Shop,169.21,Other,UOB One,2024-10-07 09:28:54,Top-up
McDonald's,35.44,Food & Drinks,DBS Live Fresh,2024-11-24 15:37:43,Lunch
Pharmacy,70.98,Health,Amex Gold,2025-01-06 21:10:24,
Apple,40.46,Other,Citi Rewards,2024-06-19 12:25:00,
Pharmacy,183.74,Health,Citi Rewards,2024-02-22 17:56:26,
Apple,116.72,Other,Chase Sapphire Preferred,2025-01-01 16:48:47,
Local Shop,280.63,Other,Amex Gold,2024-02-22 16:22:34,Monthly subscription
Concerts,97.12,Entertainment,Citi Rewards,2024-04-07 13:20:36,
Cinema,59.80,Entertainment,UOB One,2025-06-30 15:43:06,Delivery fee
KFC,46.98,Food & Drinks,UOB One,2025-10-18 10:58:48,
KFC,55.63,Food & Drinks,DBS Live Fresh,2025-10-04 19:29:40,Gift
IKEA,726.74,Shopping,Amex Gold,2024-09-09 14:05:10,
Apple TV+,102.37,Entertainment,DBS Live Fresh,2025-03-02 16:05:18,
Misc Store,113.35,Other,Chase Sapphire Preferred,2025-05-19 13:58:12,Airport ride
Amazon,1192.68,Shopping,Citi Rewards,2024-10-13 07:09:57,Pharmacy run
Grab,590.59,Travel,Citi Rewards,2024-08-25 17:21:57,
Misc Store,231.32,Other,UOB One,2024-02-04 22:36:07,
Local Cafe,24.65,Food & Drinks,Citi Rewards,2024-02-14 18:23:37,
Amazon,1340.13,Shopping,Amex Gold,2025-03-27 14:25:12,
Misc Store,185.33,Other,Amex Gold,2025-05-09 20:40:34,Monthly subscription
Utilities Co,59.81,Services,DBS Live Fresh,2025-07-30 10:38:28,
iCloud,19.74,Services,UOB One,2024-11-23 14:52:31,
Google,86.68,Other,Chase Sapphire Preferred,2025-04-14 09:38:53,
Clinic,180.37,Health,Chase Sapphire Preferred,2024-12-01 17:55:27,Dinner with friends
KFC,65.02,Food & Drinks,Citi Rewards,2025-01-06 13:04:24,
Spotify,46.78,Services,Chase Sapphire Preferred,2025-06-16 10:55:28,Dinner with friends
Amazon,1256.58,Shopping,UOB One,2024-09-10 09:23:20,Gift
Utilities Co,17.60,Services,UOB One,2025-02-25 11:25:40,
Arcade,38.25,Entertainment,UOB One,2024-06-03 07:46:58,Dinner with friends
iCloud,27.42,Services,Amex Gold,2025-08-07 10:00:15,Coffee
KFC,69.93,Food & Drinks,UOB One,2024-11-18 09:57:10,Pharmacy run
Apple,155.06,Other,Chase Sapphire Preferred,2025-01-09 09:07:14,Groceries
Qantas,180.94,Travel,Citi Rewards,2024-06-21 18:52:58,Fuel
Concerts,43.23,Entertainment,UOB One,2024-02-15 12:45:13,Pharmacy run
Starbucks,50.75,Food & Drinks,UOB One,2024-01-25 21:51:43,Top-up
Arcade,114.88,Entertainment,Citi Rewards,2024-04-25 19:29:25,Hotel deposit
Subway,11.63,Food & Drinks,UOB One,2025-06-13 09:32:33,Lunch
Apple TV+,20.66,Entertainment,Citi Rewards,2024-11-20 22:54:36,Household items
McDonald's,44.51,Food & Drinks,Citi Rewards,2025-02-08 11:33:53,
Burger King,63.40,Food & Drinks,UOB One,2024-10-24 19:50:32,
Lazada,864.87,Shopping,UOB One,2024-11-17 09:16:27,
Uniqlo,1255.57,Shopping,Chase Sapphire Preferred,2025-08-07 15:33:13,Delivery fee
KFC,70.99,Food & Drinks,Chase Sapphire Preferred,2024-06-19 12:09:34,
Dental Care,184.77,Health,UOB One,2025-07-01 07:50:50,Top-up
Subway,70.32,Food & Drinks,UOB One,2024-11-22 13:20:52,Airport ride
Spotify,24.04,Services,DBS Live Fresh,2025-08-07 22:48:21,
Grab,573.31,Travel,Citi Rewards,2025-02-05 09:48:33,Coffee
iCloud,18.44,Services,Amex Gold,2024-02-24 07:32:21,Airport ride
Subway,22.70,Food & Drinks,UOB One,2024-12-03 22:56:47,
Local Shop,281.13,Other,UOB One,2025-02-22 09:57:48,
KFC,34.57,Food & Drinks,Amex Gold,2025-10-13 14:12:20,Groceries
Apple TV+,73.04,Entertainment,Amex Gold,2025-09-02 16:05:14,
Utilities Co,55.60,Services,Citi Rewards,2025-05-12 20:11:07,
Netflix,8.73,Services,Amex Gold,2024-10-13 16:43:17,Pharmacy run
Google,182.06,Other,DBS Live Fresh,2024-10-20 09:33:54,
Starbucks,16.17,Food & Drinks,UOB One,2025-04-15 11:26:19,Groceries
Netflix,35.47,Services,DBS Live Fresh,2024-12-03 18:30:44,Fuel
Arcade,93.84,Entertainment,Amex Gold,2024-06-21 12:18:42,Membership renewal
Local Cafe,41.02,Food & Drinks,Chase Sapphire Preferred,2025-03-04 17:49:07,
Dental Care,269.09,Health,UOB One,2025-05-21 13:50:21,Household items
Utilities Co,46.79,Services,UOB One,2024-01-26 20:38:18,Dinner with friends
Lazada,512.58,Shopping,UOB One,2025-03-01 12:20:07,
Shopee,321.13,Shopping,Chase Sapphire Preferred,2025-10-15 20:52:10,
Shell,738.61,Travel,Citi Rewards,2024-06-06 16:49:07,
iCloud,52.10,Services,UOB One,2024-10-18 22:25:13,
Amazon,516.72,Shopping,Amex Gold,2024-09-19 16:21:24,
Dental Care,149.26,Health,DBS Live Fresh,2024-10-20 15:43:23,
IKEA,34.04,Shopping,Citi Rewards,2024-09-20 08:26:08,
iCloud,21.46,Services,Citi Rewards,2024-09-10 11:50:14,Dinner with friends
Local Shop,260.80,Other,DBS Live Fresh,2025-06-14 18:48:20,
Zara,1319.48,Shopping,Amex Gold,2025-02-21 09:32:46,
